          DH  INJV           Xt           Mt          XMt          NDH
  -140.15444  10.0      0.00000      0.00000      0.00000      0.00000
  -132.62548  10.0      0.00000      0.00000      0.00000      0.00000
  -125.67568  10.0      0.00000      0.00000      0.00000      0.00000
  -117.85714  10.0      0.00000      0.00000      0.00000      0.00000
  -112.35521  10.0      0.00000      0.00000      0.00000      0.00000
  -109.45946  10.0      0.00000      0.00000      0.00000      0.00000
  -105.98456  10.0      0.00000      0.00000      0.00000      0.00000
  -103.37838  10.0      0.00000      0.00000      0.00000      0.00000
  -101.35135  10.0      0.00000      0.00000      0.00000      0.00000
  -100.48263  10.0      0.00000      0.00000      0.00000      0.00000
  -101.64093  10.0      0.00000      0.00000      0.00000      0.00000
   -98.74517  10.0      0.00000      0.00000      0.00000      0.00000
   -98.16602  10.0      0.00000      0.00000      0.00000      0.00000
   -98.74517  10.0      0.00000      0.00000      0.00000      0.00000
   -96.42857  10.0      0.00000      0.00000      0.00000      0.00000
   -93.24324  10.0      0.00000      0.00000      0.00000      0.00000
   -86.58301  10.0      0.00000      0.00000      0.00000      0.00000
   -72.97297  10.0      0.00000      0.00000      0.00000      0.00000
   -52.12355  10.0      0.00000      0.00000      0.00000      0.00000
   -30.40541  10.0      0.00000      0.00000      0.00000      0.00000
   -17.95367  10.0      0.00000      0.00000      0.00000      0.00000
    -9.55598  10.0      0.00000      0.00000      0.00000      0.00000
    -7.23938  10.0      0.00000      0.00000      0.00000      0.00000
    -5.21236  10.0      0.00000      0.00000      0.00000      0.00000
    -3.47490  10.0      0.00000      0.00000      0.00000      0.00000
    -2.02703  10.0      0.00000      0.00000      0.00000      0.00000
    -2.89575  10.0      0.00000      0.00000      0.00000      0.00000
    -2.31660  10.0      0.00000      0.00000      0.00000      0.00000
    -1.73745  10.0      0.00000      0.00000      0.00000      0.00000
    -0.86873  10.0      0.00000      0.00000      0.00000      0.00000
    -1.15830  10.0      0.00000      0.00000      0.00000      0.00000
    -1.15830  10.0      0.00000      0.00000      0.00000      0.00000
    -1.15830  10.0      0.00000      0.00000      0.00000      0.00000
     0.86873  10.0      0.00000      0.00000      0.00000      0.00000
     0.86873  10.0      0.00000      0.00000      0.00000      0.00000
    -1.44788  10.0      0.00000      0.00000      0.00000      0.00000
     1.15830  10.0      0.00000      0.00000      0.00000      0.00000
    -1.15830  10.0      0.00000      0.00000      0.00000      0.00000
    -2.60618  10.0      0.00000      0.00000      0.00000      0.00000
        --           0.00000      0.00000 --
